ask,bid,due,emittent,ratio,strike,wkn,wkn_link
0.073,0.063,11.03.2019,CITI,0.1,13.0,CQ43QG,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ43QG
0.031,0.021,17.12.2018,UBS,0.1,14.4,UW8BZ2,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW8BZ2
2.58,2.56,20.12.2019,DZ Bank AG,1.0,9.6,DD556X,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD556X
0.052,0.042,11.03.2019,CITI,0.1,14.0,CQ4V9H,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V9H
0.059,0.049,17.06.2019,CITI,0.1,14.4,CQ4072,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4072
0.59,0.57,17.06.2019,CITI,1.0,14.4,CQ4073,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4073
0.34,0.33,11.02.2019,UBS,1.0,14.4,UV459U,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV459U
0.86,0.84,16.12.2019,CITI,1.0,14.4,CQ40E2,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ40E2
0.64,0.63,16.09.2019,UBS,1.0,14.4,UV5GZ9,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5GZ9
0.53,0.52,17.06.2019,UBS,1.0,14.4,UV5BRE,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5BRE
0.49,0.48,13.05.2019,UBS,1.0,14.4,UV49LT,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV49LT
0.88,0.87,20.03.2020,DZ Bank AG,1.0,14.5,DD5W49,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD5W49
0.39,0.38,11.03.2019,UBS,1.0,14.4,UV5FX2,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5FX2
0.033,0.023,14.01.2019,UBS,0.1,14.5,UV6RMH,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6RMH
0.29,0.28,14.01.2019,UBS,1.0,14.4,UV46Z7,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV46Z7
0.83,0.81,18.12.2019,Société Générale S.A.,1.0,14.5,SC8E7X,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC8E7X
0.07,0.06,16.09.2019,CITI,0.1,14.5,CQ4080,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4080
0.52,0.51,17.06.2019,UBS,1.0,14.5,UV5G2T,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5G2T
0.2,0.19,12.11.2018,UBS,1.0,14.5,UV46Y9,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV46Y9
0.7,0.68,16.09.2019,CITI,1.0,14.5,CQ4081,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4081
0.74,0.73,16.12.2019,UBS,1.0,14.5,UV5L1A,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5L1A
0.053,0.043,17.06.2019,CITI,0.1,14.75,CY7ZLG,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY7ZLG
0.079,0.069,16.12.2019,CITI,0.1,14.75,CQ0HZQ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ0HZQ
0.75,0.74,20.12.2019,DZ Bank AG,1.0,14.5,DD3X25,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD3X25
0.53,0.51,17.06.2019,CITI,1.0,14.75,CY7ZLF,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY7ZLF
0.03,0.02,17.12.2018,CITI,0.1,14.75,CY3QW6,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY3QW6
0.79,0.77,16.12.2019,CITI,1.0,14.75,CQ0HZR,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ0HZR
0.041,0.031,17.12.2018,CITI,0.1,13.9,CQ4V8Y,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V8Y
0.066,0.056,16.09.2019,CITI,0.1,14.7,CQ4084,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4084
0.03,0.02,17.12.2018,CITI,0.1,14.7,CQ4V99,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V99
0.033,0.023,17.12.2018,CITI,0.112,14.73,CX4Q38,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CX4Q38
0.041,0.031,11.03.2019,CITI,0.1,14.7,CQ4V9Y,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V9Y
0.25,0.23,17.12.2018,CITI,1.0,14.75,CY3QW7,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY3QW7
0.26,0.24,17.12.2018,CITI,1.0,14.7,CQ4V9A,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V9A
0.66,0.64,16.09.2019,CITI,1.0,14.7,CQ4085,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4085
0.39,0.37,11.03.2019,CITI,1.0,14.7,CQ4V9X,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V9X
0.54,0.52,17.06.2019,CITI,1.0,14.7,CQ4077,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4077
0.054,0.044,17.06.2019,CITI,0.1,14.7,CQ4076,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4076
0.08,0.07,16.12.2019,CITI,0.1,14.7,CQ40E6,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ40E6
0.07,0.054,19.06.2019,HSBC,0.1,14.5,TD9P4M,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD9P4M
0.024,0.014,12.11.2018,UBS,0.1,14.5,UV04NY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV04NY
0.67,0.65,18.09.2019,Société Générale S.A.,1.0,14.5,SC6M5X,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC6M5X
0.62,0.61,16.09.2019,UBS,1.0,14.5,UV5C1D,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5C1D
0.057,0.047,17.06.2019,CITI,0.1,14.5,CY8M2U,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY8M2U
0.28,0.24,18.12.2018,BNP Paribas,1.0,14.5,PP0BXK,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP0BXK
0.29,0.27,19.12.2018,Société Générale S.A.,1.0,14.5,SC4W0U,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC4W0U
0.28,0.26,19.12.2018,HypoVereinsbank/UniCredit,1.0,14.5,HW39VS,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW39VS
0.093,0.077,18.12.2019,HSBC,0.1,14.5,TR0616,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR0616
0.63,0.62,20.09.2019,DZ Bank AG,1.0,14.5,DD1555,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD1555
