ask,bid,due,emittent,ratio,strike,wkn,wkn_link,yr,yr2,yr4
1.28,1.25,19.12.2018,Morgan Stanley & Co. International plc,1.0,11.0,MF4S52,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/MF4S52,12.28,13.56,16.12

0.24,0.22,16.12.2020,HSBC,0.1,11.0,TR25T9,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR25T9,13.4,15.8,20.6

0.0,0.0,15.06.2020,UBS,0.1,11.0,UV6NMH,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6NMH,11.0,11.0,11.0

0.27,0.24,15.12.2021,HSBC,0.1,11.0,TR25TA,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR25TA,13.7,16.4,21.8

0.17,0.13,21.12.2018,Société Générale S.A.,0.112,10.93,SE5TMJ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SE5TMJ,12.447857142857142,13.965714285714286,17.001428571428573

0.17,0.15,13.03.2019,HSBC,0.1,11.0,TR25SU,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR25SU,12.7,14.4,17.8

0.15,0.13,19.12.2018,HSBC,0.1,11.0,TR25SP,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR25SP,12.5,14.0,17.0

1.94,1.92,18.12.2019,HypoVereinsbank/UniCredit,1.0,10.8,HX11P6,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX11P6,12.74,14.68,18.560000000000002

1.39,1.37,19.12.2018,HypoVereinsbank/UniCredit,1.0,10.8,HX15ET,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX15ET,12.190000000000001,13.58,16.36

1.7,1.68,19.06.2019,HypoVereinsbank/UniCredit,1.0,10.8,HX11P8,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX11P8,12.5,14.200000000000001,17.6

