ask,bid,due,emittent,ratio,strike,wkn,wkn_link
1.37,1.35,21.12.2018,DZ Bank AG,1.0,13.5,DD0KYR,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD0KYR
1.73,1.71,13.03.2019,Société Générale S.A.,1.0,13.2,SC5DDF,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC5DDF
3.39,3.35,20.12.2019,DZ Bank AG,1.0,11.0,DD6CJD,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD6CJD
0.31,0.3,16.12.2019,UBS,0.1,11.5,UX3KLK,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UX3KLK
1.87,1.85,19.06.2019,Société Générale S.A.,1.0,13.3,SC5DDK,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC5DDK
1.58,1.56,17.12.2018,CITI,1.1204,13.39,CX4Q2X,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CX4Q2X
0.23,0.22,17.12.2018,UBS,0.1,11.8,UX3CD1,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UX3CD1
2.32,2.3,19.12.2018,HypoVereinsbank/UniCredit,1.0,11.6,HX04S8,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX04S8
1.23,1.21,19.12.2018,Société Générale S.A.,1.0,13.9,SC42Y5,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC42Y5
0.14,0.13,10.12.2018,UBS,0.112,13.83,UW2AEL,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW2AEL
0.13,0.12,17.12.2018,UBS,0.1,13.8,UW8WXJ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW8WXJ
0.25,0.24,17.06.2019,UBS,0.1,12.0,UX3FV8,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UX3FV8
0.19,0.17,21.12.2018,Société Générale S.A.,0.112,12.94,SE4J3Q,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SE4J3Q
0.27,0.25,17.06.2020,HSBC,0.1,13.0,TR0C2H,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR0C2H
1.57,1.55,19.12.2018,HypoVereinsbank/UniCredit,1.0,13.0,HW4DGA,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW4DGA
1.62,1.54,17.12.2018,CITI,1.0,13.0,CY8M23,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY8M23
0.2,0.19,17.12.2018,UBS,0.1,12.2,UX3PBX,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UX3PBX
2.01,1.97,21.06.2019,DZ Bank AG,1.0,13.0,DD0KZB,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD0KZB
0.29,0.28,17.12.2018,CITI,0.112,11.16,CX4XYN,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CX4XYN
0.21,0.2,16.12.2019,CITI,0.1,13.75,CQ0HZG,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ0HZG
0.18,0.16,19.12.2018,HSBC,0.1,13.0,TR0C25,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR0C25
0.21,0.2,21.06.2019,Commerzbank AG,0.1,13.0,CV35H6,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CV35H6
0.23,0.22,16.12.2019,UBS,0.1,13.0,UW974G,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW974G
1.44,1.42,19.06.2019,Société Générale S.A.,1.0,14.4,SC300D,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC300D
1.74,1.72,18.12.2019,HypoVereinsbank/UniCredit,1.0,14.4,HW8XKK,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW8XKK
0.11,0.096,17.12.2018,UBS,0.1,14.4,UW8BZ2,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW8BZ2
2.56,2.54,18.12.2019,HypoVereinsbank/UniCredit,1.0,12.4,HX06TF,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX06TF
1.69,1.67,18.09.2019,Société Générale S.A.,1.0,14.4,SC64SW,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC64SW
0.096,0.086,12.11.2018,UBS,0.1,14.4,UV0YA1,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV0YA1
0.0,0.0,13.03.2019,Deutsche Bank,1.0,15.0,DM8VZM,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DM8VZM
0.087,0.077,15.10.2018,UBS,0.1,14.4,UV06M6,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV06M6
1.0,0.93,19.12.2018,Morgan Stanley & Co. International plc,1.0,14.5,MF2YY4,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/MF2YY4
0.26,0.25,16.12.2019,UBS,0.1,12.5,UW955L,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW955L
0.89,0.87,19.12.2018,Société Générale S.A.,1.0,14.9,SC4W0Y,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC4W0Y
1.26,1.24,13.03.2019,Société Générale S.A.,1.0,14.4,SC2EZL,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC2EZL
1.73,1.71,20.12.2019,DZ Bank AG,1.0,14.5,DD3X25,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD3X25
1.59,1.57,18.09.2019,Société Générale S.A.,1.0,14.7,SC64SY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC64SY
0.11,0.097,19.12.2018,HSBC,0.1,14.5,TD8RT1,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD8RT1
0.093,0.083,12.11.2018,UBS,0.1,14.5,UV04NY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV04NY
0.21,0.2,15.06.2020,UBS,0.1,14.5,UW9Z2G,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW9Z2G
